Chapter,Section,Name
1,I,Live Animals; Animal Products
2,I,Live Animals; Animal Products
3,I,Live Animals; Animal Products
4,I,Live Animals; Animal Products
5,I,Live Animals; Animal Products
6,II,Vegetable Products
7,II,Vegetable Products
8,II,Vegetable Products
9,II,Vegetable Products
10,II,Vegetable Products
11,II,Vegetable Products
12,II,Vegetable Products
13,II,Vegetable Products
14,II,Vegetable Products
15,III,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes
16,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
17,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
18,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
19,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
20,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
21,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
22,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
23,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
24,IV,"Prepared Foodstuffs; Beverages, Spirits, and Vinegar; Tobacco and Manufactured Tobacco Substitutes"
25,V,Mineral Products
26,V,Mineral Products
27,V,Mineral Products
28,VI,Products of the Chemical or Allied Industries
29,VI,Products of the Chemical or Allied Industries
30,VI,Products of the Chemical or Allied Industries
31,VI,Products of the Chemical or Allied Industries
32,VI,Products of the Chemical or Allied Industries
33,VI,Products of the Chemical or Allied Industries
34,VI,Products of the Chemical or Allied Industries
35,VI,Products of the Chemical or Allied Industries
36,VI,Products of the Chemical or Allied Industries
37,VI,Products of the Chemical or Allied Industries
38,VI,Products of the Chemical or Allied Industries
39,VII,Plastics and Articles Thereof Rubber and Articles Thereof
40,VII,Plastics and Articles Thereof Rubber and Articles Thereof
41,VIII,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)"
42,VIII,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)"
43,VIII,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silkworm Gut)"
44,IX,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufacturers of Straw,of Esparto or of Other Plaiting Materials; Basketware and Wickerwork"
45,IX,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufacturers of Straw,of Esparto or of Other Plaiting Materials; Basketware and Wickerwork"
46,IX,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufacturers of Straw,of Esparto or of Other Plaiting Materials; Basketware and Wickerwork"
47,X,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard; Paper and Paperboard and Articles Thereof
48,X,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard; Paper and Paperboard and Articles Thereof
49,X,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard; Paper and Paperboard and Articles Thereof
50,XI,Textile and Textile Articles
51,XI,Textile and Textile Articles
52,XI,Textile and Textile Articles
53,XI,Textile and Textile Articles
54,XI,Textile and Textile Articles
55,XI,Textile and Textile Articles
56,XI,Textile and Textile Articles
57,XI,Textile and Textile Articles
58,XI,Textile and Textile Articles
59,XI,Textile and Textile Articles
60,XI,Textile and Textile Articles
61,XI,Textile and Textile Articles
62,XI,Textile and Textile Articles
63,XI,Textile and Textile Articles
64,XII,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair"
65,XII,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair"
66,XII,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair"
67,XII,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seatsticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair"
68,XIII,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware"
69,XIII,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware"
70,XIII,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware"
71,XIV,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware"
72,XV,Base Metals and Articles of Base Metal
73,XV,Base Metals and Articles of Base Metal
74,XV,Base Metals and Articles of Base Metal
75,XV,Base Metals and Articles of Base Metal
76,XV,Base Metals and Articles of Base Metal
77,XV,Base Metals and Articles of Base Metal
78,XV,Base Metals and Articles of Base Metal
79,XV,Base Metals and Articles of Base Metal
80,XV,Base Metals and Articles of Base Metal
81,XV,Base Metals and Articles of Base Metal
82,XV,Base Metals and Articles of Base Metal
83,XV,Base Metals and Articles of Base Metal
84,XVI,"Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles"
85,XVI,"Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles"
86,XVII,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
87,XVII,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
88,XVII,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
89,XVII,"Vehicles, Aircraft, Vessels and Associated Transport Equipment"
90,XVIII,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof"
