I_COMMODITY,I_COMMODITY_SDESC,COMM_LVL,Total Volume,CTY_CODE,CTY_NAME,YEAR,MONTH,HTS SECTION,
1,LIVE ANIMALS,HS2,4763933653,-,TOTAL FOR ALL COUNTRIES,2024,12,I,
1,LIVE ANIMALS,HS2,3754411943,20,USMCA (NAFTA),2024,12,I,
1,LIVE ANIMALS,HS2,662932088,3,EUROPEAN UNION,2024,12,I,There are 13173 rows
1,LIVE ANIMALS,HS2,64153213,14,PACIFIC RIM COUNTRIES,2024,12,I,
1,LIVE ANIMALS,HS2,3573760,17,CAFTA-DR,2024,12,I,
1,LIVE ANIMALS,HS2,1341345696,21,TWENTY LATIN AMERICAN REPUBLICS,2024,12,I,
1,LIVE ANIMALS,HS2,4577696121,22,OECD,2024,12,I,
1,LIVE ANIMALS,HS2,3087295170,23,NATO,2024,12,I,
1,LIVE ANIMALS,HS2,1337713825,24,LAFTA,2024,12,I,
1,LIVE ANIMALS,HS2,644625645,25,EURO AREA,2024,12,I,
1,LIVE ANIMALS,HS2,3871618525,26,APEC,2024,12,I,
1,LIVE ANIMALS,HS2,49763761,27,ASEAN,2024,12,I,
1,LIVE ANIMALS,HS2,3568260,28,CACM,2024,12,I,
1,LIVE ANIMALS,HS2,2443232506,1220,CANADA,2024,12,I,
1,LIVE ANIMALS,HS2,3754411943,1XXX,NORTH AMERICA,2024,12,I,
1,LIVE ANIMALS,HS2,1968933,2110,EL SALVADOR,2024,12,I,
1,LIVE ANIMALS,HS2,1311179437,2010,MEXICO,2024,12,I,
1,LIVE ANIMALS,HS2,34000,2050,GUATEMALA,2024,12,I,
1,LIVE ANIMALS,HS2,27476,2080,BELIZE,2024,12,I,
1,LIVE ANIMALS,HS2,290491,2190,NICARAGUA,2024,12,I,
1,LIVE ANIMALS,HS2,1274836,2230,COSTA RICA,2024,12,I,
1,LIVE ANIMALS,HS2,54016,2250,PANAMA,2024,12,I,
1,LIVE ANIMALS,HS2,18000,2320,BERMUDA,2024,12,I,
1,LIVE ANIMALS,HS2,21000,2360,BAHAMAS,2024,12,I,
1,LIVE ANIMALS,HS2,3200,2410,JAMAICA,2024,12,I,
1,LIVE ANIMALS,HS2,4095,2450,HAITI,2024,12,I,
1,LIVE ANIMALS,HS2,5500,2470,DOMINICAN REPUBLIC,2024,12,I,
1,LIVE ANIMALS,HS2,126000,2483,ST KITTS AND NEVIS,2024,12,I,
1,LIVE ANIMALS,HS2,4560,2487,ST LUCIA,2024,12,I,
1,LIVE ANIMALS,HS2,293788,2720,BARBADOS,2024,12,I,
1,LIVE ANIMALS,HS2,2900,2740,TRINIDAD AND TOBAGO,2024,12,I,
1,LIVE ANIMALS,HS2,62360,2774,SINT MAARTEN,2024,12,I,
1,LIVE ANIMALS,HS2,4191155,2XXX,CENTRAL AMERICA,2024,12,I,
1,LIVE ANIMALS,HS2,611745,3010,COLOMBIA,2024,12,I,
1,LIVE ANIMALS,HS2,29220,3070,VENEZUELA,2024,12,I,
