year,gdp_current_usd
1960,541988586207
1961,561940310345
1962,603639413793
1963,637058551724
1964,684144620690
1965,741904862069
1966,813032758621
1967,859620034483
1968,940225000000
1969,1017438172414
1970,1073303000000
1971,1164850000000
1972,1279110000000
1973,1425376000000
1974,1545243000000
1975,1684904000000
1976,1873412000000
1977,2081826000000
1978,2351599000000
1979,2627333000000
1980,2857307000000
1981,3207041000000
1982,3343789000000
1983,3634038000000
1984,4037613000000
1985,4338979000000
1986,4579631000000
1987,4855215000000
1988,5236438000000
1989,5641580000000
1990,5963144000000
1991,6158129000000
1992,6520327000000
1993,6858559000000
1994,7287236000000
1995,7639749000000
1996,8073122000000
1997,8577552000000
1998,9062817000000
1999,9631172000000
2000,10250952000000
2001,10581929000000
2002,10929108000000
2003,11456450000000
2004,12217196000000
2005,13039197000000
2006,13815583000000
2007,14474228000000
2008,14769862000000
2009,14478067000000
2010,15048971000000
2011,15599732000000
2012,16253970000000
2013,16880683000000
2014,17608138000000
2015,18295019000000
2016,18804913000000
2017,19612102000000
2018,20656516000000
2019,21539982000000
2020,21375281000000
2021,23725645000000
2022,26054614000000
2023,27811517000000
2024,29298013000000
2025,30769700000000
